Year,Month,Impuesto Sobre la Renta,Impuesto al Valor Agregado,IEPS Total,IEPS - Gasolinas y diesel,IEPS - Tabacos labrados,IEPS - Alcohol,IEPS - Cerveza y bebidas refrescantes,IEPS - Juegos y sorteos,IEPS - Telecomunicaciones,IEPS - Bebidas energetizantes,IEPS - Bebidas saborizadas,IEPS - Alimentos alta densidad calorica,IEPS - Plaguicidas,IEPS - Carbono,"IEPS - Aguas, refrescos y sus concentrados",IEPS - Otros,Importaciones,Impuesto sobre Automoviles Nuevos,Impuesto por la Actividad de Exploracion y Extraccion de Hidrocarburos,Otros ingresos tributarios,Total de Ingresos tributarios
2010,Enero,71997.9,58816.9,2628.3,-6928.5,6808.4,734.7,1865.1,148.4,0,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1988.90,559.90,n.a,7814.70,143806.70
2010,Febrero,46098.3,36601.9,-1320.3,-4171,655.9,288.9,1343.9,235.6,326.4,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1814.10,333.40,n.a,15636.30,99163.70
2010,Marzo,55628.3,35756.9,-2675.3,-5954.8,339.3,843.5,1455.8,151.6,489.1,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2111.40,349.50,n.a,19632.50,110803.30
2010,Abril,53859.7,40199.9,-981.9,-5423.8,1621.6,301.5,1684.9,200.6,633.3,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1767.50,389.20,n.a,9801.90,105036.50
2010,Mayo,45604.2,37907.7,-1953.3,-6539.4,1656.9,352.5,1810.6,191.2,575,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1992.00,336.00,n.a,6777.20,90663.90
2010,Junio,52620.2,40381.3,-1064.3,-6377.8,2243.5,296.2,1932.6,281.4,559.8,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1958.60,350.90,n.a,6455.90,100702.50
2010,Julio,47794.2,41098,545.7,-4498.7,1912.3,418.4,1767.7,399.8,546.1,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1828.70,327.80,n.a,6131.90,97726.30
2010,Agosto,49580.4,43394.2,1090.3,-3950.6,2201.3,387.3,1758.5,125.6,568.2,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1585.10,350.50,n.a,5105.50,101106.10
2010,Septiembre,47331.7,42133.3,1689.8,-3351.5,2495.2,149.6,1738.3,127.9,530.4,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2184.70,381.40,n.a,6645.40,100366.30
2010,Octubre,50846.1,40968.9,2961.3,-2284.3,2149.6,509.1,1632.6,421.3,533,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2502.00,398.90,n.a,3601.30,101278.50
2010,Noviembre,48996.8,37466.9,1962.7,-2907.7,2121.4,393.8,1626,173.6,555.6,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2368.90,438.70,n.a,3195.80,94429.70
2010,Diciembre,56172.5,49783.2,1580.9,-3765.4,2719.9,227.6,1633.3,206.8,558.8,0,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2429.10,454.70,n.a,4921.10,115341.50
2011,Enero,78436.3,56441.9,7738.2,-4358.7,8555.9,738.6,1941,233.2,628.1,0.1,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2014.00,586.30,n.a,6747.10,151963.90
2011,Febrero,51113.6,37466.4,-4076.9,-6715,203.4,314.9,1465.7,127.6,521.9,4.5,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2011.30,401.10,n.a,10933.50,97849.00
2011,Marzo,66302.6,37213.6,-3023.5,-7361.7,727.5,1364.1,1494.1,221.3,525.6,5.5,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2099.70,374.00,n.a,15942.80,118909.20
2011,Abril,60098.4,40587.3,-5956.7,-10011.8,1196.9,195.5,1864.4,210.2,575.8,12.2,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1901.00,449.40,n.a,8194.60,105273.90
2011,Mayo,55817.5,40779.9,-10187.1,-14797.4,1573.4,283.8,1967.9,217.8,558.6,8.6,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2071.10,361.70,n.a,6132.90,94976.00
2011,Junio,56832.9,42322.8,-11540.1,-17234.6,2511.2,422.3,2039.7,80,627.3,14,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2243.40,395.80,n.a,5541.40,95796.30
2011,Julio,55245.2,43124.4,-8591.9,-15090.1,2381.4,632.7,1977.3,144,1350.6,12.2,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2153.90,379.70,n.a,3726.50,96037.80
2011,Agosto,56424.3,36563.7,-6528.1,-11936.9,2279.3,442.8,1847,188.6,640.2,11,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2022.50,348.70,n.a,4638.10,93469.20
2011,Septiembre,58956.2,44930.3,-7002.8,-13353.3,3034.6,436.8,1990.9,194.7,681.4,12.1,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2858.80,406.40,n.a,5614.20,105763.30
2011,Octubre,59583.4,46328.1,-6647.7,-12263.2,2534.7,521.3,1749,180.9,619.6,10,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2626.50,396.00,n.a,2810.30,105096.60
2011,Noviembre,57733.4,51577.9,-9804.1,-15448.8,2462.5,532.5,1777.5,222.3,640.9,9,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2531.30,441.10,n.a,3033.50,105513.00
2011,Diciembre,63901.5,59806.1,-10812.8,-17107.6,2881.7,573.2,1757.5,110.2,961.9,10.4,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2347.60,538.70,n.a,7624.80,123405.90
2012,Enero,92229.3,56305.3,-11391.7,-18121.7,2472.2,1086.4,2313.9,196,649.4,12.2,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2409.60,680.60,n.a,2556.80,142789.90
2012,Febrero,55893,43597.2,-4878.2,-15138.1,7663.3,687.1,1107.9,219.1,571.7,10.8,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2148.60,438.30,n.a,8095.00,105293.90
2012,Marzo,69553.4,41021.7,-13777.5,-17339.8,751.6,1003.4,1363.2,156.8,278.5,8.9,n.d.,n.d.,n.d.,n.d.,0.00,0.00,1985.40,415.00,n.a,7512.60,106710.60
2012,Abril,70382.4,44553.9,-15662.2,-19588.4,877.9,965.1,1616.7,171.5,286,9,n.d.,n.d.,n.d.,n.d.,0.00,0.00,2061.00,464.10,n.a,8378.60,110177.80
