Periodo,Entidad_Federativa,Sexo,Grupo_edad,Actividad_economica,Numero_personas
20200301,Chiapas,Hombre,45 A 64 AÑOS,Servicios Sociales,20033
20200301,Chihuahua,Mujer,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",820
20200301,Chihuahua,Mujer,45 A 64 AÑOS,"Servicios Profesionales, Financieros y Corporativos",14172
20200301,Ciudad de México,Mujer,15 A 24 AÑOS,Industria Manufacturera,23434
20200301,Ciudad de México,Mujer,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,77169
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,"Servicios Profesionales, Financieros y Corporativos",4414
20200301,Coahuila,Hombre,65 AÑOS Y MAS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",5363
20200301,Coahuila,Hombre,65 AÑOS Y MAS,Servicios Diversos,4570
20200301,Coahuila,Mujer,15 A 24 AÑOS,Gobierno y Organismos Internacionales,985
20200301,Coahuila,Mujer,15 A 24 AÑOS,Servicios Sociales,6776
20200301,Colima,Hombre,25 A 44 AÑOS,Comercio,12583
20200301,Colima,Mujer,25 A 44 AÑOS,"Servicios Profesionales, Financieros y Corporativos",3577
20200301,Colima,Mujer,45 A 64 AÑOS,"Servicios Profesionales, Financieros y Corporativos",2042
20200301,Durango,Hombre,45 A 64 AÑOS,Comercio,20484
20200301,Durango,Mujer,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,258
20200301,Estado de México,Hombre,15 A 24 AÑOS,Industria Extractiva y de la Electricidad,2180
20200301,Aguascalientes,Hombre,NO ESPECIFICADO,"Servicios Profesionales, Financieros y Corporativos",134
20200301,Baja California,Hombre,15 A 24 AÑOS,"Servicios Profesionales, Financieros y Corporativos",11107
20200301,Baja California,Mujer,15 A 24 AÑOS,Gobierno y Organismos Internacionales,2116
20200301,Baja California,Mujer,15 A 24 AÑOS,No Especificado,2328
20200301,Baja California,Mujer,45 A 64 AÑOS,Gobierno y Organismos Internacionales,8440
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Industria Extractiva y de la Electricidad,277
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Industria Extractiva y de la Electricidad,797
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",2689
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Comercio,510
20200301,Campeche,Hombre,15 A 24 AÑOS,Servicios Sociales,931
20200301,Campeche,Hombre,25 A 44 AÑOS,Construcción,19357
20200301,Campeche,Hombre,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,3913
20200301,Campeche,Hombre,65 AÑOS Y MAS,No Especificado,185
20200301,Campeche,Mujer,65 AÑOS Y MAS,Industria Extractiva y de la Electricidad,32
20200301,Chiapas,Mujer,45 A 64 AÑOS,Comercio,57675
20200301,Chiapas,Mujer,45 A 64 AÑOS,No Especificado,172
20200301,Chihuahua,Mujer,45 A 64 AÑOS,Gobierno y Organismos Internacionales,10927
20200301,Chihuahua,Mujer,65 AÑOS Y MAS,Industria Manufacturera,822
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,Comercio,194506
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,No Especificado,7084
20200301,Ciudad de México,Hombre,25 A 44 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",134808
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,Comercio,54509
20200301,Ciudad de México,Mujer,65 AÑOS Y MAS,"Transportes, Comunicaciones, Correo y Almacenamiento",1522
20200301,Colima,Hombre,25 A 44 AÑOS,Industria Manufacturera,8502
20200301,Colima,Mujer,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,5051
20200301,Colima,Mujer,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,8435
20200301,Colima,Mujer,65 AÑOS Y MAS,Industria Manufacturera,779
20200301,Guanajuato,Hombre,25 A 44 AÑOS,Servicios Sociales,26333
20200301,Guanajuato,Hombre,45 A 64 AÑOS,Comercio,61121
20200301,Guanajuato,Hombre,45 A 64 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",20790
20200301,Guerrero,Mujer,45 A 64 AÑOS,Comercio,48116
20200301,Hidalgo,Hombre,65 AÑOS Y MAS,No Especificado,47
20200301,Jalisco,Hombre,15 A 24 AÑOS,"Servicios Profesionales, Financieros y Corporativos",25906
20200301,Jalisco,Hombre,45 A 64 AÑOS,"Servicios Profesionales, Financieros y Corporativos",55385
20200301,Michoacán,Hombre,15 A 24 AÑOS,No Especificado,279
20200301,Aguascalientes,Hombre,25 A 44 AÑOS,Construcción,20201
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",284
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,Servicios Diversos,3366
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,Servicios Sociales,11841
20200301,Baja California,Hombre,45 A 64 AÑOS,Gobierno y Organismos Internacionales,12963
20200301,Baja California,Hombre,45 A 64 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",26717
20200301,Baja California,Mujer,15 A 24 AÑOS,"Servicios Profesionales, Financieros y Corporativos",8047
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,No Especificado,230
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Gobierno y Organismos Internacionales,3355
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Industria Manufacturera,593
20200301,Campeche,Hombre,15 A 24 AÑOS,Construcción,4500
20200301,Campeche,Hombre,65 AÑOS Y MAS,"Servicios Profesionales, Financieros y Corporativos",859
20200301,Campeche,Mujer,65 AÑOS Y MAS,Servicios Sociales,132
20200301,Campeche,Mujer,NO ESPECIFICADO,Comercio,56
20200301,Chiapas,Hombre,15 A 24 AÑOS,Comercio,29695
