Periodo,Entidad_Federativa,Sexo,Grupo_edad,Condicion_informalidad,Numero_personas
20200301,Baja California,Hombre,65 AÑOS Y MAS,Formal,14841
20210301,Baja California,Hombre,65 AÑOS Y MAS,Formal,16268
20210601,Baja California,Hombre,65 AÑOS Y MAS,Formal,14645
20200301,Baja California,Hombre,65 AÑOS Y MAS,Informal,17067
20210301,Baja California,Hombre,65 AÑOS Y MAS,Informal,20616
20210601,Baja California,Hombre,65 AÑOS Y MAS,Informal,22811
20200301,Baja California,Hombre,NO ESPECIFICADO,Formal,475
20210301,Baja California,Hombre,NO ESPECIFICADO,Formal,1221
20210601,Baja California,Hombre,NO ESPECIFICADO,Formal,1340
20200301,Baja California,Hombre,NO ESPECIFICADO,Informal,118
20210601,Baja California,Hombre,NO ESPECIFICADO,Informal,222
20200301,Baja California,Mujer,15 A 24 AÑOS,Formal,61566
20210301,Baja California,Mujer,15 A 24 AÑOS,Formal,50357
20210601,Baja California,Mujer,15 A 24 AÑOS,Formal,53016
20200301,Baja California,Mujer,15 A 24 AÑOS,Informal,42110
20210301,Baja California,Mujer,15 A 24 AÑOS,Informal,36324
20210601,Baja California,Mujer,15 A 24 AÑOS,Informal,48551
20200301,Baja California,Mujer,25 A 44 AÑOS,Formal,235229
20210301,Baja California,Mujer,25 A 44 AÑOS,Formal,233713
20210601,Baja California,Mujer,25 A 44 AÑOS,Formal,226382
20200301,Baja California,Mujer,25 A 44 AÑOS,Informal,110500
20210301,Baja California,Mujer,25 A 44 AÑOS,Informal,105037
20210601,Baja California,Mujer,25 A 44 AÑOS,Informal,110455
20200301,Baja California,Mujer,45 A 64 AÑOS,Formal,123805
20210301,Baja California,Mujer,45 A 64 AÑOS,Formal,143744
20210601,Baja California,Mujer,45 A 64 AÑOS,Formal,148130
20200301,Baja California,Mujer,45 A 64 AÑOS,Informal,88228
20210301,Baja California,Mujer,45 A 64 AÑOS,Informal,81329
20210601,Baja California,Mujer,45 A 64 AÑOS,Informal,84544
20200301,Baja California,Mujer,65 AÑOS Y MAS,Formal,6474
20210301,Baja California,Mujer,65 AÑOS Y MAS,Formal,4446
20210601,Baja California,Mujer,65 AÑOS Y MAS,Formal,6195
20200301,Baja California,Mujer,65 AÑOS Y MAS,Informal,14320
20210301,Baja California,Mujer,65 AÑOS Y MAS,Informal,9615
20210601,Baja California,Mujer,65 AÑOS Y MAS,Informal,12597
20200301,Baja California,Mujer,NO ESPECIFICADO,Formal,128
20210301,Baja California,Mujer,NO ESPECIFICADO,Formal,360
20210601,Baja California,Mujer,NO ESPECIFICADO,Formal,771
20200301,Baja California,Mujer,NO ESPECIFICADO,Informal,230
20210301,Baja California,Mujer,NO ESPECIFICADO,Informal,276
20210601,Baja California,Mujer,NO ESPECIFICADO,Informal,142
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Formal,22873
20210301,Baja California Sur,Hombre,15 A 24 AÑOS,Formal,17298
20210601,Baja California Sur,Hombre,15 A 24 AÑOS,Formal,17786
20200301,Baja California Sur,Hombre,15 A 24 AÑOS,Informal,16846
20210301,Baja California Sur,Hombre,15 A 24 AÑOS,Informal,14892
20210601,Baja California Sur,Hombre,15 A 24 AÑOS,Informal,13871
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Formal,81995
20210301,Baja California Sur,Hombre,25 A 44 AÑOS,Formal,72544
20210601,Baja California Sur,Hombre,25 A 44 AÑOS,Formal,83965
20200301,Baja California Sur,Hombre,25 A 44 AÑOS,Informal,33831
20210301,Baja California Sur,Hombre,25 A 44 AÑOS,Informal,34027
20210601,Baja California Sur,Hombre,25 A 44 AÑOS,Informal,38509
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Formal,43755
20210301,Baja California Sur,Hombre,45 A 64 AÑOS,Formal,45548
20210601,Baja California Sur,Hombre,45 A 64 AÑOS,Formal,50381
20200301,Baja California Sur,Hombre,45 A 64 AÑOS,Informal,27522
20210301,Baja California Sur,Hombre,45 A 64 AÑOS,Informal,32203
20210601,Baja California Sur,Hombre,45 A 64 AÑOS,Informal,28068
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Formal,3737
20210301,Baja California Sur,Hombre,65 AÑOS Y MAS,Formal,4235
20210601,Baja California Sur,Hombre,65 AÑOS Y MAS,Formal,4152
20200301,Baja California Sur,Hombre,65 AÑOS Y MAS,Informal,6392
20210301,Baja California Sur,Hombre,65 AÑOS Y MAS,Informal,5113
20210601,Baja California Sur,Hombre,65 AÑOS Y MAS,Informal,3345
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Formal,14268
20210301,Baja California Sur,Mujer,15 A 24 AÑOS,Formal,7251
20210601,Baja California Sur,Mujer,15 A 24 AÑOS,Formal,10456
20200301,Baja California Sur,Mujer,15 A 24 AÑOS,Informal,11641
20210301,Baja California Sur,Mujer,15 A 24 AÑOS,Informal,14851
20210601,Baja California Sur,Mujer,15 A 24 AÑOS,Informal,15928
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Formal,55161
20210301,Baja California Sur,Mujer,25 A 44 AÑOS,Formal,58997
20210601,Baja California Sur,Mujer,25 A 44 AÑOS,Formal,61281
20200301,Baja California Sur,Mujer,25 A 44 AÑOS,Informal,30478
20210301,Baja California Sur,Mujer,25 A 44 AÑOS,Informal,23671
20210601,Baja California Sur,Mujer,25 A 44 AÑOS,Informal,26918
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Formal,25938
20210301,Baja California Sur,Mujer,45 A 64 AÑOS,Formal,27408
20210601,Baja California Sur,Mujer,45 A 64 AÑOS,Formal,27757
20200301,Baja California Sur,Mujer,45 A 64 AÑOS,Informal,20504
20210301,Baja California Sur,Mujer,45 A 64 AÑOS,Informal,21354
20210601,Baja California Sur,Mujer,45 A 64 AÑOS,Informal,20437
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Formal,1154
20210301,Baja California Sur,Mujer,65 AÑOS Y MAS,Formal,1867
20210601,Baja California Sur,Mujer,65 AÑOS Y MAS,Formal,2087
20200301,Baja California Sur,Mujer,65 AÑOS Y MAS,Informal,1957
20210301,Baja California Sur,Mujer,65 AÑOS Y MAS,Informal,2094
20210601,Baja California Sur,Mujer,65 AÑOS Y MAS,Informal,2818
20210601,Baja California Sur,Mujer,NO ESPECIFICADO,Formal,140
20200301,Baja California Sur,Mujer,NO ESPECIFICADO,Informal,55
20200301,Campeche,Hombre,15 A 24 AÑOS,Formal,8783
20210301,Campeche,Hombre,15 A 24 AÑOS,Formal,7727
20210601,Campeche,Hombre,15 A 24 AÑOS,Formal,7397
20200301,Campeche,Hombre,15 A 24 AÑOS,Informal,38062
20210301,Campeche,Hombre,15 A 24 AÑOS,Informal,35096
20210601,Campeche,Hombre,15 A 24 AÑOS,Informal,36808
20200301,Campeche,Hombre,25 A 44 AÑOS,Formal,54412
20210301,Campeche,Hombre,25 A 44 AÑOS,Formal,53132
20210601,Campeche,Hombre,25 A 44 AÑOS,Formal,54079
20200301,Campeche,Hombre,25 A 44 AÑOS,Informal,63565
20210301,Campeche,Hombre,25 A 44 AÑOS,Informal,69955
20210601,Campeche,Hombre,25 A 44 AÑOS,Informal,67079
20200301,Campeche,Hombre,45 A 64 AÑOS,Formal,32268
20210301,Campeche,Hombre,45 A 64 AÑOS,Formal,32885
20210601,Campeche,Hombre,45 A 64 AÑOS,Formal,33339
20200301,Campeche,Hombre,45 A 64 AÑOS,Informal,43989
20210301,Campeche,Hombre,45 A 64 AÑOS,Informal,49000
