"Academic Degree ID","Academic Degree","Population","Percentage"
100,"Preescolar o Kínder",200241,0.22576174930478038
200,"Primaria",20010294,22.56060935344386
300,"Secundaria",25836894,29.129810508548125
400,"Preparatoria o Bachillerato General",19601535,22.099753949784905
500,"Bachillerato Tecnológico o Normal Básica",1899689,2.141804684230747
600,"Estudios Técnicos o Comerciales con Primaria Terminada",311671,0.35139352164426974
700,"Estudios Técnicos o Comerciales con Secundaria Terminada",1193042,1.3450954046078167
800,"Estudios Técnicos o Comerciales con Preparatoria Terminada",1302323,1.4683042865339742
900,"Normal con Primaria o Secundaria Terminada",132336,0.14920224557407033
1000,"Normal de Licenciatura",767859,0.8657227593720537
1100,"Licenciatura",15506945,17.483307762011865
1200,"Especialidad",343445,0.38721712331630537
1300,"Maestría",1357301,1.5302892419291143
1400,"Doctorado",232141,0.26172740969811886
