Año,Programa,Maestría IPICYT,Doctorado IPICYT,Maestría Externa,Doctorado Externo
2014,Biología Molecular,11,12,1,0
2014,Ciencias Ambientales,5,5,1,1
2014,Control y Sistemas Dinámicos,9,0,2,1
2014,Nanociencias y Materiales,1,1,3,2
2014,Geociencias Aplicadas,1,0,1,0
2015,Biología Molecular,13,8,1,0
2015,Ciencias Ambientales,13,3,1,0
2015,Control y Sistemas Dinámicos,5,6,1,2
2015,Nanociencias y Materiales,10,8,4,4
2015,Geociencias Aplicadas,9,2,0,0
2016,Biología Molecular,18,9,1,0
2016,Ciencias Ambientales,13,5,1,1
2016,Control y Sistemas Dinámicos,6,0,1,0
2016,Nanociencias y Materiales,2,4,1,3
2016,Geociencias Aplicadas,11,2,1,1
2017,Biología Molecular,17,7,0,2
2017,Ciencias Ambientales,9,4,2,0
2017,Control y Sistemas Dinámicos,2,4,2,0
2017,Nanociencias y Materiales,10,4,3,0
2017,Geociencias Aplicadas,11,0,0,0
2018,Biología Molecular,9,7,0,0
2018,Ciencias Ambientales,14,5,0,2
2018,Control y Sistemas Dinámicos,8,3,0,0
2018,Nanociencias y Materiales,16,2,0,2
2018,Geociencias Aplicadas,5,2,1,1
2019,Biología Molecular,14,5,0,0
2019,Ciencias Ambientales,17,5,0,0
2019,Control y Sistemas Dinámicos,9,7,0,0
2019,Nanociencias y Materiales,6,5,0,0
2019,Geociencias Aplicadas,13,8,0,0
2020,Biología Molecular,11,8,0,0
2020,Ciencias Ambientales,7,7,0,0
2020,Control y Sistemas Dinámicos,1,4,0,0
2020,Nanociencias y Materiales,14,2,0,0
2020,Geociencias Aplicadas,15,3,0,0
2021,Biología Molecular,6,7,0,0
2021,Ciencias Ambientales,1,1,0,0
2021,Control y Sistemas Dinámicos,0,0,0,0
2021,Nanociencias y Materiales,0,3,0,0
2021,Geociencias Aplicadas,3,3,0,0
